entity_id,state,last_changed
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5E 02 27 5C 01 0C 08 0D 11,2025-12-08T13:23:33.818Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5D 02 26 5C 01 0C 08 0D 11,2025-12-08T13:23:38.822Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5D 02 27 5C 01 0C 08 0D 11,2025-12-08T13:23:43.906Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5C 02 27 5B 01 0C 08 0D 11,2025-12-08T13:23:53.848Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5D 02 26 5B 01 0C 08 0D 11,2025-12-08T13:23:58.862Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5C 02 27 5C 01 0C 08 0D 11,2025-12-08T13:24:03.884Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5B 02 27 5B 01 0C 08 0D 12,2025-12-08T13:24:23.853Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5B 02 27 5C 01 0C 08 0D 12,2025-12-08T13:24:28.860Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5B 02 27 5B 01 0C 08 0D 12,2025-12-08T13:24:48.853Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5B 02 27 5C 01 0C 08 0D 12,2025-12-08T13:24:53.856Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5A 02 27 5C 01 0C 08 0D 12,2025-12-08T13:24:58.869Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5B 02 27 5B 01 0C 08 0D 12,2025-12-08T13:25:03.882Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5B 02 27 5C 01 0C 08 0D 12,2025-12-08T13:25:08.900Z
